time_str,pmax,vmp,imp
17:00:00,0.0,0.0,0.0
17:01:00,0.0,0.0,0.0
17:02:00,0.0,0.0,0.0
17:03:00,0.0,0.0,0.0
17:04:00,0.0,0.0,0.0
17:05:00,0.0,0.0,0.0
17:06:00,0.0,0.0,0.0
17:07:00,1597.3609654823542,1121.180871929464,1.4247130016884981
17:08:00,5725.857398285218,1085.400612203448,5.275340122262581
17:09:00,7753.722248123548,1032.0718314179976,7.512773832292712
17:10:00,8688.220718724298,988.3490254322533,8.790640244648914
17:11:00,9083.474683318525,953.4234516445576,9.527219691995684
17:12:00,9190.316569943028,926.8018581630895,9.916161139510583
17:13:00,9130.722136840082,908.7536014043144,10.047522367702534
17:14:00,8952.747878153377,900.0149854854681,9.947332013948929
17:15:00,8642.992352861173,901.6519568151853,9.585730156223415
17:16:00,8115.233511937765,915.0489774400194,8.868632949726138
17:17:00,6677.923253374451,878.9122335531171,7.597940952964185
17:18:00,4893.358438218699,914.7037308165644,5.349664895157204
17:19:00,1362.0595308085396,933.7662426444382,1.4586729189857723
17:20:00,0.0,0.0,0.0
17:21:00,0.0,0.0,0.0
17:22:00,0.0,0.0,0.0
17:23:00,0.0,0.0,0.0
18:00:00,0.0,0.0,0.0
